Period,VNI_Return,Equal_Return,ONI_Return,Alpha_Return,VNI_Cumulative,Equal_Cumulative,ONI_Cumulative,Alpha_Cumulative
31/3/2011,0,0,0,0,0,0,0,0
30/6/2011,-6.199986988,-15.9648127,-9.058956334,-9.058956334,-6.199986988,-15.9648127,-9.058956334,-9.058956334
30/9/2011,-1.142090905,-12.08315868,-7.224575609,-7.224575609,-7.271268406,-26.11891773,-15.62906079,-15.62906079
31/12/2011,-17.78531338,-11.3523558,-5.779370171,-5.779370171,-23.76336391,-34.50616106,-20.50516969,-20.50516969
31/3/2012,25.45299388,37.17904693,28.12486789,28.12486789,-4.358857589,-10.15617595,1.852646315,1.852646315
30/6/2012,-4.231004694,10.89736342,10.89736342,10.89736342,-8.405438813,-0.365567933,12.95189933,12.95189933
30/9/2012,-7.055425338,-8.096112517,-17.56464722,-17.56464722,-14.86782469,-8.432083659,-6.887703317,-6.887703317
31/12/2012,5.390121507,18.33841163,18.33841163,18.33841163,-10.279097,8.360017764,10.18761293,10.18761293
31/3/2013,18.68609963,19.28580409,16.51770067,16.51770067,6.486240323,29.25811851,28.38807301,28.38807301
30/6/2013,-2.018165526,15.00708549,9.196553055,9.196553055,4.33717173,48.65599485,40.19535026,40.19535026
30/9/2013,2.390206389,3.562514385,3.562514385,3.562514385,6.831045475,53.95188605,45.18982978,45.18982978
31/12/2013,2.435905243,18.51666715,18.51666715,18.51666715,9.433348513,82.45864435,72.0741473,72.0741473
31/3/2014,17.22846442,20.82684886,20.82684886,20.82684886,28.28703403,120.4590304,107.9117699,107.9117699
30/6/2014,-2.271920483,-5.652750565,-5.652750565,-5.652750565,25.37245462,107.9970314,96.15903613,96.15903613
30/9/2014,3.57532043,26.60565928,26.60565928,26.60565928,29.85492161,163.3360128,148.3484409,148.3484409
31/12/2014,-8.879425518,28.56095231,46.36292481,46.36292481,18.32455056,238.5472859,263.4900419,263.4900419
31/3/2015,1.00800909,0.967966317,1.856406205,1.856406205,19.51727279,241.8243095,270.2378935,270.2378935
30/6/2015,7.606190917,2.374645443,-0.315475345,-0.315475345,28.60798473,249.9414249,269.0698843,269.0698843
30/9/2015,-5.127729534,-2.144905784,-1.524224095,-1.524224095,22.01331512,242.4355111,263.4444322,263.4444322
31/12/2015,2.913052751,6.423714247,7.230289056,7.230289056,25.56762735,264.4325898,289.7225152,289.7225152
31/3/2016,-3.075833722,4.990000565,13.77456265,13.77456265,21.70537592,282.6177781,343.4050872,343.4050872
30/6/2016,12.65813763,1.600653661,1.600653661,1.600653661,37.11100991,288.7421635,350.5024669,350.5024669
30/9/2016,8.456963907,5.531297976,4.081212973,4.081212973,48.70643853,310.244651,368.8884321,368.8884321
31/12/2016,-3.042013621,-0.271839786,7.355264135,7.355264135,44.18276842,309.1294428,403.3764147,403.3764147
31/3/2017,8.639282867,7.805757854,7.805757854,7.805757854,56.63912563,341.0650964,442.6687588,442.6687588
30/6/2017,7.498165608,7.600713691,7.600713691,7.600713691,68.38418667,374.5891916,483.9154574,483.9154574
